2014-07-01 00-00-00;;1801003;2000;4330.0;4346.0
2014-07-01 00-00-00;;1801003;2050;-8697.0;-9110.0
2014-07-01 00-00-00;;1801003;2090;;
2014-07-01 00-00-00;;1801003;2095;-4367.0;-4764.0
2014-07-01 00-00-00;;1801003;2120;6446.0;7373.0
2014-07-01 00-00-00;;1801003;2130;-1537.0;-1887.0
2014-07-01 00-00-00;;1801003;2150;;
2014-07-01 00-00-00;;1801003;2180;-372.0;-327.0
2014-07-01 00-00-00;;1801003;2190;170.0;395.0
2014-07-01 00-00-00;;1801003;2195;;
2014-07-01 00-00-00;;1801003;2200;;
2014-07-01 00-00-00;;1801003;2220;15.0;2.0
2014-07-01 00-00-00;;1801003;2240;104.0;104.0
2014-07-01 00-00-00;;1801003;2241;;
2014-07-01 00-00-00;;1801003;2250;;
2014-07-01 00-00-00;;1801003;2255;;
2014-07-01 00-00-00;;1801003;2270;;
2014-07-01 00-00-00;;1801003;2290;289.0;501.0
2014-07-01 00-00-00;;1801003;2295;;
2014-07-01 00-00-00;;1801003;2300;;
2014-07-01 00-00-00;;1801003;2305;;
2014-07-01 00-00-00;;1801003;2350;289.0;501.0
2014-07-01 00-00-00;;1801003;2355;;
2014-07-01 00-00-00;;1801003;2400;;
2014-07-01 00-00-00;;1801003;2405;;
2014-07-01 00-00-00;;1801003;2410;;
2014-07-01 00-00-00;;1801003;2415;;
2014-07-01 00-00-00;;1801003;2445;;
2014-07-01 00-00-00;;1801003;2450;;
2014-07-01 00-00-00;;1801003;2455;;
2014-07-01 00-00-00;;1801003;2460;;
2014-07-01 00-00-00;;1801003;2465;289.0;501.0
2014-07-01 00-00-00;;1801003;2500;1701.0;1682.0
2014-07-01 00-00-00;;1801003;2505;5976.0;6565.0
2014-07-01 00-00-00;;1801003;2510;2214.0;2402.0
2014-07-01 00-00-00;;1801003;2515;343.0;348.0
2014-07-01 00-00-00;;1801003;2520;372.0;327.0
2014-07-01 00-00-00;;1801003;2550;10606.0;11324.0
2014-07-01 00-00-00;;1801003;2600;;
2014-07-01 00-00-00;;1801003;2605;;
2014-07-01 00-00-00;;1801003;2610;;
2014-07-01 00-00-00;;1801003;2615;;
2014-07-01 00-00-00;;1801003;2650;;
