2014-10-01 00-00-00;;1801003;2000;125962.0;12246.0
2014-10-01 00-00-00;;1801003;2050;-116813.0;-5314.0
2014-10-01 00-00-00;;1801003;2090;9149.0;6932.0
2014-10-01 00-00-00;;1801003;2095;;
2014-10-01 00-00-00;;1801003;2120;123084.0;
2014-10-01 00-00-00;;1801003;2130;-6496.0;-820.0
2014-10-01 00-00-00;;1801003;2150;;
2014-10-01 00-00-00;;1801003;2180;-128207.0;-5336.0
2014-10-01 00-00-00;;1801003;2190;;776.0
2014-10-01 00-00-00;;1801003;2195;-2470.0;
2014-10-01 00-00-00;;1801003;2200;;
2014-10-01 00-00-00;;1801003;2220;;
2014-10-01 00-00-00;;1801003;2240;11799.0;
2014-10-01 00-00-00;;1801003;2241;;
2014-10-01 00-00-00;;1801003;2250;;
2014-10-01 00-00-00;;1801003;2255;;
2014-10-01 00-00-00;;1801003;2270;-18711.0;
2014-10-01 00-00-00;;1801003;2290;;776.0
2014-10-01 00-00-00;;1801003;2295;-9382.0;
2014-10-01 00-00-00;;1801003;2300;;
2014-10-01 00-00-00;;1801003;2305;;
2014-10-01 00-00-00;;1801003;2350;;776.0
2014-10-01 00-00-00;;1801003;2355;-9382.0;
2014-10-01 00-00-00;;1801003;2400;;
2014-10-01 00-00-00;;1801003;2405;;
2014-10-01 00-00-00;;1801003;2410;;
2014-10-01 00-00-00;;1801003;2415;;
2014-10-01 00-00-00;;1801003;2445;;
2014-10-01 00-00-00;;1801003;2450;;
2014-10-01 00-00-00;;1801003;2455;;
2014-10-01 00-00-00;;1801003;2460;;
2014-10-01 00-00-00;;1801003;2465;-9382.0;776.0
2014-10-01 00-00-00;;1801003;2500;44571.0;41.0
2014-10-01 00-00-00;;1801003;2505;54114.0;1561.0
2014-10-01 00-00-00;;1801003;2510;19662.0;574.0
2014-10-01 00-00-00;;1801003;2515;123132.0;17.0
2014-10-01 00-00-00;;1801003;2520;10037.0;9277.0
2014-10-01 00-00-00;;1801003;2550;251516.0;11470.0
2014-10-01 00-00-00;;1801003;2600;;
2014-10-01 00-00-00;;1801003;2605;;
2014-10-01 00-00-00;;1801003;2610;;
2014-10-01 00-00-00;;1801003;2615;;
2014-10-01 00-00-00;;1801003;2650;;
